Product line,Brushes ,Europe ,India ,North America,South America,China south Pacific,Japan Korea,VAN
Brushes ,"Pressed in flexible, copper graphite brush ",SAME,Chennai,Chennai,Chennai,Tianjin,Daegu,30%
Brushes ,Copper graphite brush without wire ,Tianjin,Chennai,Chennai,Chennai,Tianjin,Tianjin,30%
Brushes ,Tamped fuel pump brush ,Chennai,Chennai,Monterrey,Monterrey,Tianjin,Tianjin,40%
Brushes ,No copper grade tamped brush,Chennai,Chennai,Monterrey,Monterrey,Tianjin,Tianjin,40%
Chokes ,Rod choke ,SAME,Chennai,Monterrey,Monterrey,Kunshan,Kunshan,25%
Chokes ,Fuse chokes,Kunshan,Kunshan,Kunshan,Kunshan,Kunshan,Kunshan,50%
Chokes ,Torroid choke ,SAME,Chennai,Monterrey,Monterrey,Kunshan,Kunshan,30%
Assemblies,Brush holder ,SCEET,Chennai,Monterrey,Monterrey,Kunshan,Kunshan,25%
Assemblies,Insert molded products ,SCEET,SAME,Monterrey,Monterrey,External,External,25%
Assemblies,Wire harness ,SCEET,SCEET,SCEET,SCEET,External,External,25%
Assemblies,Antenna,SCEET,SCEET,Monterrey,Monterrey,Kunshan,Kunshan,25%
Assemblies,Solenoide,Monterrey,Monterrey,Monterrey,Monterrey,Kunshan,Kunshan,30%
Dynamic seals ,Industry ,Amiens,Amiens,Monterrey,Monterrey,Amiens,Amiens,40%
Dynamic seals ,Automotive ,SAME,Chennai,Monterrey,Monterrey,Amiens,Amiens,25%
Advanced material ,Bushing,SAME,SAME,Monterrey,Monterrey,Kunshan,Kunshan,50%
Advanced material ,Pump rotors ,SAME,SAME,Monterrey,Monterrey,Kunshan,Kunshan,50%
Advanced material ,Pump vanes,Chennai,Chennai,Chennai,Chennai,Chennai,Chennai,50%
Advanced material ,Gears,SAME,SAME,Monterrey,Monterrey,Kunshan,Kunshan,50%
Advanced material ,Sic component,Amiens,Amiens,Amiens,Amiens,Amiens,Amiens,50%
Advanced material ,Machined products ,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,Monterrey,50%
,,,,,,,,
checked and ok ,,,,,,,,
